name,count,university press,url
Yale University,119,Yes,https://yalebooks.yale.edu
Norwegian University of Science and Technology,118,No,
Leiden University,111,Yes,https://www.lup.nl
Board of the Swiss Federal Institutes of Technology,84,No,
Tsinghua University,64,Yes,https://www.tup.tsinghua.edu.cn/en/index.html
University of Michigan-Ann Arbor,59,Yes,https://www.press.umich.edu
ETH Zurich,51,Yes,https://vdf.ch/
Chinese Academy of Sciences,44,Yes,https://www.sciencep.com/
United States Department of Energy,43,No,
University of Surrey,43,No,
Australian Government,42,No,
Commonwealth Scientific and Industrial Research Organisation,41,Yes,https://www.publish.csiro.au
"Department of Industry, Science and Resources",41,No,
Technical University of Denmark,40,No,
Helmholtz Association of German Research Centres,39,No,
Delft University of Technology,39,Yes,https://books.open.tudelft.nl
The University of Tokyo,38,Yes,https://www.utp.or.jp/english/
Massachusetts Institute of Technology,37,Yes,https://mitpress.mit.edu
Chalmers University of Technology,37,No,
KTH Royal Institute of Technology,32,No,
Universitat Autónoma de Barcelona,31,Yes,https://publicacions.uab.cat/
National Institute for Environmental Studies,31,No,
Netherlands Organisation for Applied Scientific Research,30,No,
University of Freiburg,30,No,
University of London,29,Yes,https://www.uolpress.co.uk
University of Sydney,29,Yes,https://sydneyuniversitypress.com.au
Utrecht University,29,No,
Office of Science,29,No,
Polytechnique Montréal,29,Yes,https://www.presses-polytechnique.ca/
TU Wien,28,Yes,https://www.tuwien.at/en/academicpress
Lund University,28,Yes,https://www.lunduniversitypress.lu.se
Carnegie Mellon University,28,Yes,https://www.cmu.edu/universitypress/
Arizona State University,27,No,
International Institute for Applied Systems Analysis,26,No,
University of Cambridge,26,Yes,https://www.cambridge.org/universitypress
Nagoya University,26,Yes,https://www.unp.or.jp/
"University of California, Berkeley",26,Yes,https://www.ucpress.edu
Centre National de la Recherche Scientifique,25,Yes,https://www.cnrseditions.fr/
European Union,25,No,
University College London,25,Yes,https://www.uclpress.co.uk
"University of California, Santa Barbara",24,Yes,https://www.ucpress.edu/
École Polytechnique Fédérale de Lausanne,24,Yes,https://www.epflpress.org/
Research Institute of Industrial Economics,24,No,
BOKU University,24,No,
Center for Environmental Health,23,No,
Aalborg University,23,Yes,https://forlag.aau.dk/
Georgia Institute of Technology,22,No,
University of Victoria,22,Yes,https://www.uvic.ca/library/featured/publishing/index.php
European Commission,22,No,
Leibniz Association,21,No,
"University of California, Davis",21,Yes,https://www.ucpress.edu
Fraunhofer Society,20,Yes,https://www.verlag.fraunhofer.de/
INSEAD,19,No,
University of Leeds,19,Yes,https://universitypress.whiterose.ac.uk/
University of Toronto,19,Yes,https://utorontopress.com
Vienna University of Economics and Business,18,No,
Karlsruhe Institute of Technology,18,Yes,https://www.ksp.kit.edu/
Directorate-General Joint Research Centre,18,No,
University of Augsburg,17,No,
Institute of Urban Environment,17,No,
University of Chinese Academy of Sciences,17,Yes,https://www.sciencep.com/
Harvard University,16,Yes,https://www.hup.harvard.edu
UNSW Sydney,16,Yes,https://unsw.press
State Key Joint Laboratory of Environment Simulation and Pollution Control,16,No,
Technische Universität Berlin,16,Yes,https://www.berlin-universities-publishing.de/en/
Vrije Universiteit Amsterdam,16,Yes,https://www.vup.nl
Radboud University Nijmegen,15,Yes,https://www.radbouduniversitypress.nl
University of Washington,15,Yes,https://uwapress.uw.edu
Technische UniversitÃ¤t Braunschweig,15,No,
Linköping University,14,Yes,https://ep.liu.se/en/
Beijing Institute of Technology,14,Yes,https://www.bitpress.com.cn/
Environmental Protection Agency,14,No,
University of Minnesota,14,Yes,https://www.upress.umn.edu
University of Helsinki,14,Yes,https://hup.fi
University of British Columbia,14,Yes,https://www.ubcpress.ca
University of Manchester,14,Yes,https://manchesteruniversitypress.co.uk
University of Illinois Chicago,14,Yes,https://www.press.uillinois.edu
University of Chicago,14,Yes,https://press.uchicago.edu
International Collaboration On Repair Discoveries,14,No,
UBC Properties Trust,14,No,
University of Klagenfurt,14,No,
Pacific Centre for Isotopic and Geochemical Research,14,No,
"University of Maryland, College Park",14,No,
Ministry of Industry and Information Technology,14,No,
"Rutgers, The State University of New Jersey",13,Yes,https://www.rutgersuniversitypress.org
Argonne National Laboratory,13,No,
Ritsumeikan University,13,Yes,
"Wuppertal Institute for Climate, Environment and Energy",13,No,
United Nations University,13,Yes,https://press.unu.edu/
Joint Research Centre,13,No,
The Ritsumeikan Trust,13,No,
Dalhousie University,12,Yes,https://www.dal.ca/faculty/architecture-planning/dalhousie-architectural-press.html
University of Lisbon,12,Yes,https://www.imprensa.ulisboa.pt
University of Groningen,12,Yes,https://www.ugp.rug.nl/
Beijing Normal University,12,Yes,https://press.bnu.edu.cn/
Ministry of Infrastructure and the Environment,12,No,
Government of Netherlands,12,No,
Escola Brasileira de Economia e Finanças,12,Yes,https://editora.fgv.br/
University of Twente,12,Yes,https://research.utwente.nl/en/publishers/twente-university-press-tup
University of Kassel,11,Yes,https://www.uni-kassel.de/upress/
Northeastern University,11,No,
Netherlands Environmental Assessment Agency,11,No,
Université de Bordeaux,11,Yes,https://pub.u-bordeaux.fr/
Rochester Institute of Technology,11,Yes,https://www.rit.edu/press/
University of Queensland,11,Yes,https://uqp.com.au/
Shanghai Jiao Tong University,11,Yes,https://www.sjtupress.com.cn/
Finnish Environment Institute,11,No,
Ministry of the Environment,11,No,
The Ohio State University,11,Yes,https://ohiostatepress.org
Columbia University,11,Yes,https://cup.columbia.edu
Michigan State University,11,Yes,https://msupress.org/
AT&T (United States),10,No,
National Renewable Energy Laboratory,10,No,
Lawrence Berkeley National Laboratory,10,No,
University of Waterloo,10,No,
Universität Hamburg,10,Yes,https://hup.sub.uni-hamburg.de/
"University of California, Los Angeles",10,Yes,https://www.ucpress.edu
Peking University,10,Yes,http://www.pup.cn
Charles University,10,Yes,https://karolinum.cz/en
Purdue University West Lafayette,10,Yes,https://www.press.purdue.edu
Office of Energy Efficiency and Renewable Energy,10,No,
2.-0 LCA Consultants (Denmark),10,No,
Institut Polytechnique de Bordeaux,10,No,
NTNU Samfunnsforskning,10,No,
Université du Québec,10,Yes,https://www.puq.ca/
Pontifical Catholic University of Peru,10,Yes,https://fondoeditorial.pucp.edu.pe/
Swiss Federal Laboratories for Materials Science and Technology,10,No,
RMIT University,10,Yes,https://www.rmit.edu.au/up
Erasmus University Rotterdam,10,No,
KU Leuven,10,Yes,https://lup.be/
Tufts University,9,No,
Ford Motor Company (United States),9,No,
University of Melbourne,9,Yes,https://www.mup.com.au/
